id,distance,weight
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.PatternOptionBuilder method=getValueClass methodDesc=(C)Ljava/lang/Object;] indexes=[4] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.RemoveSwitchMutator_7],113,4
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.HelpFormatter method=printUsage methodDesc=(Ljava/io/PrintWriter;ILjava/lang/String;Lorg/apache/commons/cli/Options;)V] indexes=[92] mutator=org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator],117,8
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.PatternOptionBuilder method=getValueClass methodDesc=(C)Ljava/lang/Object;] indexes=[4] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.RemoveSwitchMutator_0],139,1
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.PatternOptionBuilder method=parsePattern methodDesc=(Ljava/lang/String;)Lorg/apache/commons/cli/Options;] indexes=[111] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.UOI4Mutator],14,312
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.HelpFormatter method=printHelp methodDesc=(ILjava/lang/String;Ljava/lang/String;Lorg/apache/commons/cli/Options;Ljava/lang/String;Z)V] indexes=[12] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.UOI3Mutator],13,282
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.HelpFormatter method=renderWrappedText methodDesc=(Ljava/lang/StringBuffer;IILjava/lang/String;)Ljava/lang/StringBuffer;] indexes=[100] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.ABSMutator],9,146
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.OptionGroup method=toString methodDesc=()Ljava/lang/String;] indexes=[62] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.NakedReceiverMutator],90,30
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.PatternOptionBuilder method=getValueClass methodDesc=(C)Ljava/lang/Object;] indexes=[4] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.RemoveSwitchMutator_27],97,3
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.Options method=getOptions methodDesc=()Ljava/util/Collection;] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.ArgumentPropagationMutator],109,14
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.PatternOptionBuilder method=getValueClass methodDesc=(C)Ljava/lang/Object;] indexes=[4] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.RemoveSwitchMutator_12],105,12
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.PatternOptionBuilder method=getValueClass methodDesc=(C)Ljava/lang/Object;] indexes=[4] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.SwitchMutator],728,1
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.Option method=getValue methodDesc=(Ljava/lang/String;)Ljava/lang/String;] indexes=[17] mutator=org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator],154,24
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.HelpFormatter method=printWrapped methodDesc=(Ljava/io/PrintWriter;IILjava/lang/String;)V] indexes=[22] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],62,45
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.HelpFormatter method=<init> methodDesc=()V] indexes=[14] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator],61,59
