id,distance,weight
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryDescriptor method=hashCode methodDesc=()I] indexes=[58] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF],55,11
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.Mirrors method=unwrapOptionalEquivalence methodDesc=(Ljava/util/Optional;)Ljava/util/Optional;] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],83,16
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryMethodDescriptor method=hashCode methodDesc=()I] indexes=[106] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR4Mutator],38,21
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_Parameter method=hashCode methodDesc=()I] indexes=[64] mutator=org.pitest.mutationtest.engine.gregor.mutators.PrimitiveReturnsMutator],22,8
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_Parameter method=equals methodDesc=(Ljava/lang/Object;)Z] indexes=[61] mutator=org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator],61,12
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.FactoryWriter method=addConstructorAndProviderFields methodDesc=(Lcom/squareup/javapoet/TypeSpec$Builder;Lcom/google/auto/factory/processor/FactoryDescriptor;)V] indexes=[93] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.ROR2Mutator],2,581
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryDescriptor method=equals methodDesc=(Ljava/lang/Object;)Z] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF],2637,1
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.FactoryWriter method=writeFactory methodDesc=(Lcom/google/auto/factory/processor/FactoryDescriptor;)V] indexes=[41] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.ROR4Mutator],1,343
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryDescriptor method=equals methodDesc=(Ljava/lang/Object;)Z] indexes=[9] mutator=org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator],96,6
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryDescriptor method=equals methodDesc=(Ljava/lang/Object;)Z] indexes=[15] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE],2538,1
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryDescriptor method=equals methodDesc=(Ljava/lang/Object;)Z] indexes=[15] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF],59,6
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryDescriptor method=equals methodDesc=(Ljava/lang/Object;)Z] indexes=[28] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE],2107,1
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_ImplementationMethodDescriptor$Builder method=build methodDesc=()Lcom/google/auto/factory/processor/ImplementationMethodDescriptor;] indexes=[94] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF],17,4
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoFactoryProcessor method=doProcess methodDesc=(Ljavax/annotation/processing/RoundEnvironment;)V] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],121,6
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryMethodDescriptor method=equals methodDesc=(Ljava/lang/Object;)Z] indexes=[27] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],54,4
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryDescriptor method=equals methodDesc=(Ljava/lang/Object;)Z] indexes=[36] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE],1782,1
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryMethodDescriptor method=equals methodDesc=(Ljava/lang/Object;)Z] indexes=[82] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF],7,28
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.FactoryWriter method=writeFactory methodDesc=(Lcom/google/auto/factory/processor/FactoryDescriptor;)V] indexes=[75] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],112,5
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.Parameter method=forParameterList methodDesc=(Ljava/util/List;Ljava/util/List;Ljavax/lang/model/util/Types;)Lcom/google/common/collect/ImmutableSet;] indexes=[53] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],79,10
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryDescriptor method=equals methodDesc=(Ljava/lang/Object;)Z] indexes=[44] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE],1438,1
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_ImplementationMethodDescriptor method=equals methodDesc=(Ljava/lang/Object;)Z] indexes=[34] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],122,11
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_ImplementationMethodDescriptor method=equals methodDesc=(Ljava/lang/Object;)Z] indexes=[50] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],77,18
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryDescriptor method=equals methodDesc=(Ljava/lang/Object;)Z] indexes=[51] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE],1261,1
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryDescriptor method=equals methodDesc=(Ljava/lang/Object;)Z] indexes=[51] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF],11,21
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryDescriptor method=equals methodDesc=(Ljava/lang/Object;)Z] indexes=[59] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE],913,2
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.FactoryWriter method=addFactoryMethods methodDesc=(Lcom/squareup/javapoet/TypeSpec$Builder;Lcom/google/auto/factory/processor/FactoryDescriptor;Lcom/google/common/collect/ImmutableSet;)V] indexes=[4] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],123,6
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryDescriptor method=equals methodDesc=(Ljava/lang/Object;)Z] indexes=[67] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE],541,1
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_FactoryDescriptor method=equals methodDesc=(Ljava/lang/Object;)Z] indexes=[74] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE],354,1
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.FactoryWriter method=getFactoryTypeVariables methodDesc=(Lcom/google/auto/factory/processor/FactoryDescriptor;)Lcom/google/common/collect/ImmutableSet;] indexes=[8] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],115,15
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoValue_Parameter method=equals methodDesc=(Ljava/lang/Object;)Z] indexes=[66] mutator=org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator],60,6
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.FactoryWriter method=addFactoryMethods methodDesc=(Lcom/squareup/javapoet/TypeSpec$Builder;Lcom/google/auto/factory/processor/FactoryDescriptor;Lcom/google/common/collect/ImmutableSet;)V] indexes=[176] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],114,6
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.AutoFactoryDeclaration method=targetEnclosingSimpleNames methodDesc=()Lcom/google/common/collect/ImmutableList;] indexes=[8] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],118,4
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.FactoryWriter method=<init> methodDesc=(Ljavax/annotation/processing/ProcessingEnvironment;Lcom/google/common/collect/ImmutableSetMultimap;)V] indexes=[22] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator],101,12
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.FactoryWriter method=resolveTypeName methodDesc=(Ljavax/lang/model/type/TypeMirror;)Lcom/squareup/javapoet/TypeName;] indexes=[37] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],88,7
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.FactoryWriter method=writeFactory methodDesc=(Lcom/google/auto/factory/processor/FactoryDescriptor;)V] indexes=[18] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.NakedReceiverMutator],150,2
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.FactoryWriter method=writeFactory methodDesc=(Lcom/google/auto/factory/processor/FactoryDescriptor;)V] indexes=[16] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],134,12
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.FactoryWriter method=writeFactory methodDesc=(Lcom/google/auto/factory/processor/FactoryDescriptor;)V] indexes=[18] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],146,1
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.FactoryWriter method=writeFactory methodDesc=(Lcom/google/auto/factory/processor/FactoryDescriptor;)V] indexes=[28] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],200,1
MutationIdentifier [location=Location [clazz=com.google.auto.factory.processor.FactoryWriter method=writeFactory methodDesc=(Lcom/google/auto/factory/processor/FactoryDescriptor;)V] indexes=[36] mutator=org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator],71,2
