id,distance,weight
MutationIdentifier [location=Location [clazz=com.google.auto.value.processor.TypeVariables method=canAssignStaticMethodResult methodDesc=(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/type/TypeMirror;Ljavax/lang/model/type/TypeMirror;Ljavax/lang/model/util/Types;)Z] indexes=[68] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_ORDER_IF],1570,1
MutationIdentifier [location=Location [clazz=com.google.auto.value.processor.TypeVariables method=canAssignStaticMethodResult methodDesc=(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/type/TypeMirror;Ljavax/lang/model/type/TypeMirror;Ljavax/lang/model/util/Types;)Z] indexes=[68] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_ORDER_ELSE],820,1
MutationIdentifier [location=Location [clazz=com.google.auto.value.processor.TypeVariables method=canAssignStaticMethodResult methodDesc=(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/type/TypeMirror;Ljavax/lang/model/type/TypeMirror;Ljavax/lang/model/util/Types;)Z] indexes=[76] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],128,20
MutationIdentifier [location=Location [clazz=com.google.auto.value.processor.BuilderSpec method=sameTypeParameters methodDesc=(Ljavax/lang/model/element/TypeElement;Ljavax/lang/model/element/TypeElement;)Z] indexes=[70] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],90,51
MutationIdentifier [location=Location [clazz=com.google.auto.value.processor.SimpleServiceLoader method=providerClassesFromUrl methodDesc=(Ljava/net/URL;Ljava/lang/Class;Ljava/lang/ClassLoader;Ljava/util/Optional;)Lcom/google/common/collect/ImmutableSet;] indexes=[102] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],101,64
MutationIdentifier [location=Location [clazz=com.google.auto.value.extension.memoized.processor.MemoizeExtension$Generator method=generate methodDesc=()Ljava/lang/String;] indexes=[132] mutator=org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator],154,34
MutationIdentifier [location=Location [clazz=com.google.auto.value.extension.toprettystring.processor.Annotations method=getAnnotationMirror methodDesc=(Ljavax/lang/model/element/Element;Ljava/lang/String;)Ljava/util/Optional;] indexes=[33] mutator=org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator],152,119
MutationIdentifier [location=Location [clazz=com.google.auto.value.processor.TypeVariables method=canAssignStaticMethodResult methodDesc=(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/type/TypeMirror;Ljavax/lang/model/type/TypeMirror;Ljavax/lang/model/util/Types;)Z] indexes=[126] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF],23,6
MutationIdentifier [location=Location [clazz=com.google.auto.value.processor.TypeVariables method=canAssignStaticMethodResult methodDesc=(Ljavax/lang/model/element/ExecutableElement;Ljavax/lang/model/type/TypeMirror;Ljavax/lang/model/type/TypeMirror;Ljavax/lang/model/util/Types;)Z] indexes=[126] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE],386,1
MutationIdentifier [location=Location [clazz=com.google.auto.value.extension.memoized.processor.MemoizeExtension method=annotatedType methodDesc=(Ljavax/lang/model/type/TypeMirror;)Lcom/squareup/javapoet/TypeName;] indexes=[23] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.NakedReceiverMutator],104,31
