id,distance,weight
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.oauth.AuthorizationUrlBuilder method=build methodDesc=()Ljava/lang/String;] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF],669,1
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.Parameter method=hashCode methodDesc=()I] indexes=[8] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],40,14
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.oauth.OAuth10aService method=appendSignature methodDesc=(Lcom/github/scribejava/core/model/OAuthRequest;)V] indexes=[12] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.UOI4Mutator],54,6
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.oauth.AuthorizationUrlBuilder method=build methodDesc=()Ljava/lang/String;] indexes=[18] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF],210,2
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.oauth.OAuth20Service method=logRequestWithParams methodDesc=(Ljava/lang/String;Lcom/github/scribejava/core/model/OAuthRequest;)V] indexes=[27] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],100,22
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.oauth.AuthorizationUrlBuilder method=build methodDesc=()Ljava/lang/String;] indexes=[75] mutator=org.pitest.mutationtest.engine.gregor.mutators.ArgumentPropagationMutator],204,1
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.pkce.PKCE method=setCodeChallengeMethod methodDesc=(Lcom/github/scribejava/core/pkce/PKCECodeChallengeMethod;)V] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator],120,5
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuthRequest method=toString methodDesc=()Ljava/lang/String;] indexes=[16] mutator=org.pitest.mutationtest.engine.gregor.mutators.ArgumentPropagationMutator],93,10
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.oauth.AuthorizationUrlBuilder method=build methodDesc=()Ljava/lang/String;] indexes=[75] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],206,1
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.oauth.AccessTokenRequestParams method=create methodDesc=(Ljava/lang/String;)Lcom/github/scribejava/core/oauth/AccessTokenRequestParams;] indexes=[6] mutator=org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator],94,22
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.extractors.OAuth1AccessTokenJSONExtractor method=instance methodDesc=()Lcom/github/scribejava/core/extractors/OAuth1AccessTokenJSONExtractor;] indexes=[4] mutator=org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator],150,19
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.oauth.OAuth20Service method=createRevokeTokenRequest methodDesc=(Ljava/lang/String;Lcom/github/scribejava/core/revoke/TokenTypeHint;)Lcom/github/scribejava/core/model/OAuthRequest;] indexes=[21] mutator=org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator],203,7
