id,distance
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[18] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.UOI1Mutator],13
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[18] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.ABSMutator],9
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[18] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.UOI2Mutator],14
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[17] mutator=org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator],13
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[19] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.AOR4Mutator],2
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[23] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.AOR4Mutator],3
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[19] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.AOD1Mutator],4
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[23] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.AOD1Mutator],4
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[21] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],95
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[22] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],57
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[19] mutator=org.pitest.mutationtest.engine.gregor.mutators.MathMutator],3
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[23] mutator=org.pitest.mutationtest.engine.gregor.mutators.MathMutator],3
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[19] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.AOR1Mutator],3
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[23] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.AOR1Mutator],3
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[19] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.AOR3Mutator],3
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[23] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.AOR3Mutator],3
