id,mutOperator,opcode,returnType,localVarsCount,isInTryCatch,isInFinalBlock,className,methodName,blockNumber,lineNumber,distance,killed,numTests
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[9] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.AOR2Mutator],AOR2Mutator,104,none,2,1,1,com.github.scribejava.core.model.OAuth1AccessToken,hashCode,0,43,3,1,1
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[13] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.AOR2Mutator],AOR2Mutator,96,none,2,1,1,com.github.scribejava.core.model.OAuth1AccessToken,hashCode,2,43,3,1,1
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[9] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.AOR1Mutator],AOR1Mutator,104,none,2,1,1,com.github.scribejava.core.model.OAuth1AccessToken,hashCode,0,43,3,1,1
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[13] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.AOR1Mutator],AOR1Mutator,96,none,2,1,1,com.github.scribejava.core.model.OAuth1AccessToken,hashCode,2,43,3,1,1
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[9] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.AOR3Mutator],AOR3Mutator,104,none,2,1,1,com.github.scribejava.core.model.OAuth1AccessToken,hashCode,0,43,3,1,1
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[13] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.AOR3Mutator],AOR3Mutator,96,none,2,1,1,com.github.scribejava.core.model.OAuth1AccessToken,hashCode,2,43,3,1,1
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[9] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.AOR4Mutator],AOR4Mutator,104,none,2,1,1,com.github.scribejava.core.model.OAuth1AccessToken,hashCode,0,43,2,1,1
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[13] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.AOR4Mutator],AOR4Mutator,96,none,2,1,1,com.github.scribejava.core.model.OAuth1AccessToken,hashCode,2,43,3,1,1
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[11] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],NonVoidMethodCallMutator,182,none,2,1,1,com.github.scribejava.core.model.OAuth1AccessToken,hashCode,0,43,89,1,1
MutationIdentifier [location=Location [clazz=com.github.scribejava.core.model.OAuth1AccessToken method=hashCode methodDesc=()I] indexes=[12] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],NonVoidMethodCallMutator,184,none,2,1,1,com.github.scribejava.core.model.OAuth1AccessToken,hashCode,1,43,57,1,1
