id,distance,weight
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.PatternOptionBuilder method=parsePattern methodDesc=(Ljava/lang/String;)Lorg/apache/commons/cli/Options;] indexes=[39] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE],927,1
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.Option method=hasArgName methodDesc=()Z] indexes=[8] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],39,18
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.PatternOptionBuilder method=parsePattern methodDesc=(Ljava/lang/String;)Lorg/apache/commons/cli/Options;] indexes=[44] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE],854,1
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.HelpFormatter method=rtrim methodDesc=(Ljava/lang/String;)Ljava/lang/String;] indexes=[23] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.ROR2Mutator],3,263
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.GnuParser method=flatten methodDesc=(Lorg/apache/commons/cli/Options;[Ljava/lang/String;Z)[Ljava/lang/String;] indexes=[212] mutator=org.pitest.mutationtest.engine.gregor.mutators.ArgumentPropagationMutator],82,11
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.CommandLine method=getOptionValue methodDesc=(CLjava/lang/String;)Ljava/lang/String;] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],54,16
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.PatternOptionBuilder method=parsePattern methodDesc=(Ljava/lang/String;)Lorg/apache/commons/cli/Options;] indexes=[132] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE],35,4
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.DefaultParser method=getMatchingLongOptions methodDesc=(Ljava/lang/String;)Ljava/util/List;] indexes=[33] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],100,22
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.Option method=hasArg methodDesc=()Z] indexes=[7] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.UOI3Mutator],102,45
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.Option$Builder method=required methodDesc=()Lorg/apache/commons/cli/Option$Builder;] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],98,12
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.HelpFormatter method=appendOptionGroup methodDesc=(Ljava/lang/StringBuffer;Lorg/apache/commons/cli/OptionGroup;)V] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE],114,17
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.HelpFormatter method=appendOption methodDesc=(Ljava/lang/StringBuffer;Lorg/apache/commons/cli/Option;Z)V] indexes=[21] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.NakedReceiverMutator],87,51
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.Option$Builder method=build methodDesc=()Lorg/apache/commons/cli/Option;] indexes=[23] mutator=org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator],119,7
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.HelpFormatter method=renderWrappedTextBlock methodDesc=(Ljava/lang/StringBuffer;IILjava/lang/String;)Ljava/lang/Appendable;] indexes=[49] mutator=org.pitest.mutationtest.engine.gregor.mutators.ArgumentPropagationMutator],135,4
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.CommandLine method=getOptionProperties methodDesc=(Lorg/apache/commons/cli/Option;)Ljava/util/Properties;] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator],41,26
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.CommandLine method=getOptionProperties methodDesc=(Ljava/lang/String;)Ljava/util/Properties;] indexes=[55] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],88,26
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.PatternOptionBuilder method=parsePattern methodDesc=(Ljava/lang/String;)Lorg/apache/commons/cli/Options;] indexes=[125] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE],773,1
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.HelpFormatter method=printOptions methodDesc=(Ljava/io/PrintWriter;ILorg/apache/commons/cli/Options;II)V] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator],44,8
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.PosixParser method=flatten methodDesc=(Lorg/apache/commons/cli/Options;[Ljava/lang/String;Z)[Ljava/lang/String;] indexes=[271] mutator=org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator],157,9
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.DefaultParser method=handleShortAndLongOption methodDesc=(Ljava/lang/String;)V] indexes=[247] mutator=org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator],83,58
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.AmbiguousOptionException method=createMessage methodDesc=(Ljava/lang/String;Ljava/util/Collection;)Ljava/lang/String;] indexes=[74] mutator=org.pitest.mutationtest.engine.gregor.mutators.EmptyObjectReturnValsMutator],20,20
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.DefaultParser method=handleShortAndLongOption methodDesc=(Ljava/lang/String;)V] indexes=[92] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],55,41
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.Options method=getOptionGroup methodDesc=(Lorg/apache/commons/cli/Option;)Lorg/apache/commons/cli/OptionGroup;] indexes=[7] mutator=org.pitest.mutationtest.engine.gregor.mutators.ArgumentPropagationMutator],74,22
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.AmbiguousOptionException method=<init> methodDesc=(Ljava/lang/String;Ljava/util/Collection;)V] indexes=[6] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],128,2
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.OptionBuilder method=create methodDesc=()Lorg/apache/commons/cli/Option;] indexes=[4] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF],134,2
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.DefaultParser method=handleShortAndLongOption methodDesc=(Ljava/lang/String;)V] indexes=[265] mutator=org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator],93,21
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.AmbiguousOptionException method=createMessage methodDesc=(Ljava/lang/String;Ljava/util/Collection;)Ljava/lang/String;] indexes=[12] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],86,35
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.OptionBuilder method=create methodDesc=()Lorg/apache/commons/cli/Option;] indexes=[7] mutator=org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator],71,24
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.AmbiguousOptionException method=createMessage methodDesc=(Ljava/lang/String;Ljava/util/Collection;)Ljava/lang/String;] indexes=[54] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],49,9
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.AmbiguousOptionException method=createMessage methodDesc=(Ljava/lang/String;Ljava/util/Collection;)Ljava/lang/String;] indexes=[30] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF],202,2
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.AmbiguousOptionException method=createMessage methodDesc=(Ljava/lang/String;Ljava/util/Collection;)Ljava/lang/String;] indexes=[30] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE],578,1
MutationIdentifier [location=Location [clazz=org.apache.commons.cli.DefaultParser method=handleShortAndLongOption methodDesc=(Ljava/lang/String;)V] indexes=[235] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR3Mutator],8,196
