id,cluster_id
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.util.ISO8601Utils method=format methodDesc=(Ljava/util/Date;ZLjava/util/TimeZone;)Ljava/lang/String;] indexes=[21] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.UOI2Mutator],34
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.util.ISO8601Utils method=format methodDesc=(Ljava/util/Date;ZLjava/util/TimeZone;)Ljava/lang/String;] indexes=[22] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.UOI2Mutator],22
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.util.ISO8601Utils method=format methodDesc=(Ljava/util/Date;ZLjava/util/TimeZone;)Ljava/lang/String;] indexes=[23] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.ROR2Mutator],13
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.util.ISO8601Utils method=format methodDesc=(Ljava/util/Date;ZLjava/util/TimeZone;)Ljava/lang/String;] indexes=[32] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.AOR2Mutator],21
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.util.ISO8601Utils method=format methodDesc=(Ljava/util/Date;ZLjava/util/TimeZone;)Ljava/lang/String;] indexes=[29] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR1Mutator],35
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.util.ISO8601Utils method=format methodDesc=(Ljava/util/Date;ZLjava/util/TimeZone;)Ljava/lang/String;] indexes=[21] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.ABSMutator],6
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.util.ISO8601Utils method=format methodDesc=(Ljava/util/Date;ZLjava/util/TimeZone;)Ljava/lang/String;] indexes=[22] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.ABSMutator],30
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.util.ISO8601Utils method=format methodDesc=(Ljava/util/Date;ZLjava/util/TimeZone;)Ljava/lang/String;] indexes=[23] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE],27
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.util.ISO8601Utils method=format methodDesc=(Ljava/util/Date;ZLjava/util/TimeZone;)Ljava/lang/String;] indexes=[29] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR6Mutator],26
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.util.ISO8601Utils method=format methodDesc=(Ljava/util/Date;ZLjava/util/TimeZone;)Ljava/lang/String;] indexes=[32] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.AOR4Mutator],14
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.util.ISO8601Utils method=format methodDesc=(Ljava/util/Date;ZLjava/util/TimeZone;)Ljava/lang/String;] indexes=[49] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.AOD2Mutator],32
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.util.ISO8601Utils method=format methodDesc=(Ljava/util/Date;ZLjava/util/TimeZone;)Ljava/lang/String;] indexes=[49] mutator=org.pitest.mutationtest.engine.gregor.mutators.MathMutator],22
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.util.ISO8601Utils method=format methodDesc=(Ljava/util/Date;ZLjava/util/TimeZone;)Ljava/lang/String;] indexes=[36] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.UOI3Mutator],37
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.util.ISO8601Utils method=format methodDesc=(Ljava/util/Date;ZLjava/util/TimeZone;)Ljava/lang/String;] indexes=[39] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.ROR5Mutator],26
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.util.ISO8601Utils method=format methodDesc=(Ljava/util/Date;ZLjava/util/TimeZone;)Ljava/lang/String;] indexes=[39] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF],4
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.util.ISO8601Utils method=format methodDesc=(Ljava/util/Date;ZLjava/util/TimeZone;)Ljava/lang/String;] indexes=[39] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.ROR3Mutator],18
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.util.ISO8601Utils method=format methodDesc=(Ljava/util/Date;ZLjava/util/TimeZone;)Ljava/lang/String;] indexes=[39] mutator=org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator],25
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.util.ISO8601Utils method=format methodDesc=(Ljava/util/Date;ZLjava/util/TimeZone;)Ljava/lang/String;] indexes=[49] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.AOR1Mutator],0
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.util.ISO8601Utils method=format methodDesc=(Ljava/util/Date;ZLjava/util/TimeZone;)Ljava/lang/String;] indexes=[36] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.UOI1Mutator],19
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.util.ISO8601Utils method=format methodDesc=(Ljava/util/Date;ZLjava/util/TimeZone;)Ljava/lang/String;] indexes=[49] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.AOD1Mutator],4
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.util.ISO8601Utils method=format methodDesc=(Ljava/util/Date;ZLjava/util/TimeZone;)Ljava/lang/String;] indexes=[36] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.UOI4Mutator],28
