id,distance,weight
MutationIdentifier [location=Location [clazz=com.google.gson.internal.ConstructorConstructor method=get methodDesc=(Lcom/google/gson/reflect/TypeToken;)Lcom/google/gson/internal/ObjectConstructor;] indexes=[61] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],141,14
MutationIdentifier [location=Location [clazz=com.google.gson.internal.LazilyParsedNumber method=equals methodDesc=(Ljava/lang/Object;)Z] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF],16,34
MutationIdentifier [location=Location [clazz=com.google.gson.internal.$Gson$Types$WildcardTypeImpl method=equals methodDesc=(Ljava/lang/Object;)Z] indexes=[21] mutator=org.pitest.mutationtest.engine.gregor.mutators.BooleanTrueReturnValsMutator],21,119
MutationIdentifier [location=Location [clazz=com.google.gson.internal.LinkedHashTreeMap$Node method=equals methodDesc=(Ljava/lang/Object;)Z] indexes=[18] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF],17,31
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.TypeAdapters$33 method=toString methodDesc=()Ljava/lang/String;] indexes=[27] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],64,23
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.ObjectTypeAdapter method=read methodDesc=(Lcom/google/gson/stream/JsonReader;)Ljava/lang/Object;] indexes=[102] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],61,49
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.MapTypeAdapterFactory$Adapter method=write methodDesc=(Lcom/google/gson/stream/JsonWriter;Ljava/util/Map;)V] indexes=[232] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],58,116
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.ReflectiveTypeAdapterFactory method=excludeField methodDesc=(Ljava/lang/reflect/Field;Z)Z] indexes=[7] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],146,10
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.util.ISO8601Utils method=parseInt methodDesc=(Ljava/lang/String;II)I] indexes=[55] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.NakedReceiverMutator],89,115
MutationIdentifier [location=Location [clazz=com.google.gson.Gson method=assertFullConsumption methodDesc=(Ljava/lang/Object;Lcom/google/gson/stream/JsonReader;)V] indexes=[6] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],85,141
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.util.ISO8601Utils method=parse methodDesc=(Ljava/lang/String;Ljava/text/ParsePosition;)Ljava/util/Date;] indexes=[323] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_ORDER_IF],133,1
MutationIdentifier [location=Location [clazz=com.google.gson.internal.ConstructorConstructor$6 method=construct methodDesc=()Ljava/lang/Object;] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator],45,109
MutationIdentifier [location=Location [clazz=com.google.gson.stream.JsonReader method=endObject methodDesc=()V] indexes=[46] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.UOI3Mutator],55,87
MutationIdentifier [location=Location [clazz=com.google.gson.stream.JsonReader method=doPeek methodDesc=()I] indexes=[169] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR6Mutator],79,257
MutationIdentifier [location=Location [clazz=com.google.gson.stream.JsonReader method=peekNumber methodDesc=()I] indexes=[375] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR5Mutator],67,229
MutationIdentifier [location=Location [clazz=com.google.gson.FieldNamingPolicy method=separateCamelCase methodDesc=(Ljava/lang/String;Ljava/lang/String;)Ljava/lang/String;] indexes=[19] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_ORDER_IF],29,4
