id,distance,weight
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVRecord method=isMapped methodDesc=(Ljava/lang/String;)Z] indexes=[9] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE],118,7
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVFormat method=printWithQuotes methodDesc=(Ljava/io/Reader;Ljava/lang/Appendable;)V] indexes=[19] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR5Mutator],7,58
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVRecord method=isSet methodDesc=(I)Z] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_ORDER_ELSE],132,3
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVFormat method=printWithEscapes methodDesc=(Ljava/io/Reader;Ljava/lang/Appendable;)V] indexes=[86] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR6Mutator],44,48
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.ExtendedBufferedReader method=read methodDesc=()I] indexes=[26] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF],11,21
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVRecord method=isSet methodDesc=(Ljava/lang/String;)Z] indexes=[6] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE],347,1
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVFormat method=<init> methodDesc=(CLjava/lang/Character;Lorg/apache/commons/csv/QuoteMode;Ljava/lang/Character;Ljava/lang/Character;ZZLjava/lang/String;Ljava/lang/String;[Ljava/lang/Object;[Ljava/lang/String;ZZZZZZZ)V] indexes=[116] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],63,16
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVRecord method=putIn methodDesc=(Ljava/util/Map;)Ljava/util/Map;] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF],951,1
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.ExtendedBufferedReader method=read methodDesc=([CII)I] indexes=[61] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE],173,4
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVParser method=<init> methodDesc=(Ljava/io/Reader;Lorg/apache/commons/csv/CSVFormat;JJ)V] indexes=[11] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator],67,6
