id,distance
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVRecord method=get methodDesc=(Ljava/lang/String;)Ljava/lang/String;] indexes=[37] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR3Mutator],2
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVRecord method=get methodDesc=(Ljava/lang/String;)Ljava/lang/String;] indexes=[41] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR3Mutator],1
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVRecord method=get methodDesc=(Ljava/lang/String;)Ljava/lang/String;] indexes=[34] mutator=org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator],1
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVRecord method=get methodDesc=(Ljava/lang/String;)Ljava/lang/String;] indexes=[37] mutator=org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator],1
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVRecord method=get methodDesc=(Ljava/lang/String;)Ljava/lang/String;] indexes=[41] mutator=org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator],1
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVRecord method=get methodDesc=(Ljava/lang/String;)Ljava/lang/String;] indexes=[49] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],88
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVRecord method=get methodDesc=(Ljava/lang/String;)Ljava/lang/String;] indexes=[34] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR6Mutator],1
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVRecord method=get methodDesc=(Ljava/lang/String;)Ljava/lang/String;] indexes=[37] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR6Mutator],2
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVRecord method=get methodDesc=(Ljava/lang/String;)Ljava/lang/String;] indexes=[41] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR6Mutator],1
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVRecord method=get methodDesc=(Ljava/lang/String;)Ljava/lang/String;] indexes=[45] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],55
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVRecord method=get methodDesc=(Ljava/lang/String;)Ljava/lang/String;] indexes=[61] mutator=org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator],164
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVRecord method=get methodDesc=(Ljava/lang/String;)Ljava/lang/String;] indexes=[61] mutator=org.pitest.mutationtest.engine.gregor.mutators.EmptyObjectReturnValsMutator],19
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVRecord method=get methodDesc=(Ljava/lang/String;)Ljava/lang/String;] indexes=[58] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],41
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVRecord method=get methodDesc=(Ljava/lang/String;)Ljava/lang/String;] indexes=[93] mutator=org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator],72
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVRecord method=get methodDesc=(Ljava/lang/String;)Ljava/lang/String;] indexes=[71] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR3Mutator],2
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVRecord method=get methodDesc=(Ljava/lang/String;)Ljava/lang/String;] indexes=[74] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR3Mutator],2
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVRecord method=get methodDesc=(Ljava/lang/String;)Ljava/lang/String;] indexes=[78] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR3Mutator],1
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVRecord method=get methodDesc=(Ljava/lang/String;)Ljava/lang/String;] indexes=[82] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR3Mutator],2
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVRecord method=get methodDesc=(Ljava/lang/String;)Ljava/lang/String;] indexes=[92] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],88
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVRecord method=get methodDesc=(Ljava/lang/String;)Ljava/lang/String;] indexes=[71] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR1Mutator],1
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVRecord method=get methodDesc=(Ljava/lang/String;)Ljava/lang/String;] indexes=[74] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR1Mutator],1
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVRecord method=get methodDesc=(Ljava/lang/String;)Ljava/lang/String;] indexes=[82] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR1Mutator],1
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVRecord method=get methodDesc=(Ljava/lang/String;)Ljava/lang/String;] indexes=[71] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR4Mutator],8
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVRecord method=get methodDesc=(Ljava/lang/String;)Ljava/lang/String;] indexes=[78] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR4Mutator],2
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVRecord method=get methodDesc=(Ljava/lang/String;)Ljava/lang/String;] indexes=[82] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR4Mutator],8
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVRecord method=get methodDesc=(Ljava/lang/String;)Ljava/lang/String;] indexes=[71] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR6Mutator],1
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVRecord method=get methodDesc=(Ljava/lang/String;)Ljava/lang/String;] indexes=[74] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR6Mutator],2
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVRecord method=get methodDesc=(Ljava/lang/String;)Ljava/lang/String;] indexes=[78] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR6Mutator],1
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVRecord method=get methodDesc=(Ljava/lang/String;)Ljava/lang/String;] indexes=[82] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR6Mutator],1
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVRecord method=get methodDesc=(Ljava/lang/String;)Ljava/lang/String;] indexes=[71] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR2Mutator],1
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVRecord method=get methodDesc=(Ljava/lang/String;)Ljava/lang/String;] indexes=[78] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR2Mutator],1
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVRecord method=get methodDesc=(Ljava/lang/String;)Ljava/lang/String;] indexes=[82] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR2Mutator],1
